name,param,value
vestas136,capex,1880952.381
vestas150,capex,2119047.619
vestas155,capex,2300000
vestas162,capex,1875000
siemens132,capex,1794471.135
siemens145,capex,1619978.162
siemens170,capex,1483176.526
acciona,capex,1500000
oz,capex,1500000
vestas136,size,4.2
vestas150,size,4.2
vestas155,size,3
vestas162,size,5.6
siemens132,size,3.4
siemens145,size,3.4
siemens170,size,6
acciona,size,5.7
oz,size,4.2
vestas136,sweep,136
vestas150,sweep,150
vestas155,sweep,155
vestas162,sweep,162
siemens132,sweep,132
siemens145,sweep,145
siemens170,sweep,170
acciona,sweep,
oz,sweep,
